Part Number,Quantity,Description
"HSI M3x5x4","7",""
"steamroller-cw-v1-rear","1",""
"steamroller-cw-v1-front","1",""
"steamroller-cw-v1-mid","1",""
"Shaft 2x7","2",""
"Lever","1",""
"Bearing 10x4x2","2",""
"Spring 10x4.6","2",""
"Bearing 7x2.45x5","4",""
"Drive Shaft","2",""
"Drive Gear - 16 teeth","1",""
"Stepper","1",""
